name_1,name_2,prediction,label,error
general lazaro cardenas,ejido lazaro cardenas,1.0,1.0,False
tapia,bandar udara internasional tapachula,0.0,0.0,False
paraje el bajio,estacion bajan,0.0,0.0,False
barranca el aguila,barranca el aguila,1.0,1.0,False
san jorge atitla,san joaquin,0.0,0.0,False
corvetena roca,roca corbetena,0.0,1.0,True
cexo,santa maria,1.0,1.0,False
laguna de tlahualilo,cuenca de tlahualilo,1.0,1.0,False
rancho de peru,rancho del penasco,0.0,0.0,False
krtarw krtarw,santiago de keretaro,1.0,1.0,False
san pedro,tequisquiapan,0.0,0.0,False
rio el tule,rio el tule,1.0,1.0,False
el tunal nenaxi,calvario de buenavista,0.0,0.0,False
canon de la rosaria,canon de la rosaria,1.0,1.0,False
san agustin chayuco,nutio,0.0,0.0,False
la union,la union,1.0,1.0,False
el chapote,chapote,1.0,1.0,False
pineiro,pineiro,1.0,0.0,True
el otero de valdetuejar,elusu,0.0,0.0,False
caserio los perez,los perez,1.0,1.0,False
kilometro nueve,la ilusion,0.0,0.0,False
barranco de las mora,rio de las animas,0.0,1.0,True
gatzaga buradon salinillas de buradon,buradon gatzaga,0.0,1.0,True
ibon de estanes,ibon de astanes,1.0,1.0,False
rio sahuapan,rio sahuapan,1.0,1.0,False
moroneari,moroncari,1.0,1.0,False
el terrero abajo,el terrero,0.0,0.0,False
cerro friaguita,cerro friagueita,1.0,1.0,False
cerro el cabezon,el cabezon,1.0,1.0,False
san pedro,rio san pedro,1.0,0.0,True
rincon de abasolo,el rincon,0.0,0.0,False
cerro el metapil,metapil,1.0,1.0,False
rio tenariva,teneria del santuario,0.0,0.0,False
magdalena tequisistlan,magdalena tequisistlan,1.0,1.0,False
arroyo parada,el arroyon,0.0,1.0,True
arroyo de el perdigon,o peon,0.0,0.0,False
santa maria,nerium promontorium,0.0,0.0,False
candelaria,candelaria de la union,1.0,1.0,False
santiago,bujtrago del losojja,0.0,0.0,False
kankirixche,kankabconot,0.0,0.0,False
santa maria cortijo,santa maria cortijos,1.0,1.0,False
arroyo de guarena,arroyo de guarena,1.0,1.0,False
santa maria ayoquezco de aldama,santa maria,0.0,1.0,True
pejelagarto,pejelagarto segunda seccion,1.0,0.0,True
la cieneguita,arroyo la cienaguita,0.0,1.0,True
xaibe,xabanche,0.0,0.0,False
arroyo el sauz,arroyo el sauz,1.0,1.0,False
los cavazos,huejotita,0.0,0.0,False
cerro pollo,picacho el pollo,1.0,1.0,False
rio toscano,rio toscano,1.0,1.0,False
estanque,estanco viejo,0.0,0.0,False
yerbanis,yerbanis,1.0,1.0,False
roca monumento,monument rock,0.0,1.0,True
tlacotepec de diaz,tlacotepec,1.0,0.0,True
azores,caserio azores,1.0,1.0,False
veinat de les ferreries,vehinat de esclet,1.0,0.0,True
caserio la campaneta,la calzada,0.0,0.0,False
ruinas de yaxchilan,yaxchilan,1.0,1.0,False
villanueva de zamajon,valdegovia,0.0,0.0,False
san martin,elgueiras,1.0,1.0,False
recobeco,recoveco,0.0,1.0,True
petkanche,petkanche,1.0,1.0,False
el xuchil,ejido la pina,0.0,0.0,False
rio lobos,rio udero,1.0,1.0,False
megui,naxthey,0.0,0.0,False
lago santa maria,cerro los lopez,0.0,0.0,False
xteppen,punta xpuo,0.0,0.0,False
coatlan,santa maria coatlan,1.0,0.0,True
zozocolco,zozocolco de guerrero,1.0,0.0,True
coapichapan,barranca san miguel,0.0,1.0,True
armintzako senadia,araminon,1.0,0.0,True
san juan bei alicante,san juan de alicante,1.0,1.0,False
cabrera de insunza,cerro de la cabra,1.0,0.0,True
adolfo lopez mateos,adolfo lopez mateos,1.0,1.0,False
estero santa maria,estero santa maria,1.0,1.0,False
puente de la reina,pons reginae,1.0,1.0,False
bujtrago,bugarin,0.0,0.0,False
cortijo san antonio,caserio san antonio,1.0,0.0,True
la uno,uno,0.0,1.0,True
huertas de medialegua,huertos de medialegua,1.0,1.0,False
la pena,rancho la pena,1.0,0.0,True
makant d la slba,mazarak,0.0,0.0,False
santa maria tlahuitoltepec,santa maria tlahuitoltepec,1.0,1.0,False
loma la gloria,cirimoa,0.0,0.0,False
los diaz,los diaz,1.0,1.0,False
cantica,estacion las canoas,0.0,0.0,False
arroyo matalote,el matalote,1.0,1.0,False
la flor,el capule,0.0,1.0,True
el alamo gordo,cerro rincon del alamo,0.0,0.0,False
