name_1,name_2,prediction,token_set_ratio,label,error
cuu,chiganallo,0.36575976,0.15,0.0,False
ruinas de yaxchilan,yaxche,0.32059547,0.4,0.0,False
rio de los templarios,rio de santa maria,0.23319802,0.62,1.0,True
la grullita,sierra lagrimas,0.14665535,0.46,0.0,False
san martin,coucieiro,0.4886095,0.11,1.0,True
zicuicho,sicuicho,0.968802,0.88,1.0,False
mesa de san jose,mesa de san jose,0.9770729,1.0,1.0,False
rio guachinango,rio guachinango,0.9817407,1.0,1.0,False
rio avion,santos justo y pastor,0.45812088,0.27,0.0,False
rio farasdues,farasduos,0.2065581,0.73,0.0,False
hacienda las boquillas,la zabila,0.37721297,0.26,0.0,False
santa maria,santa maria,0.8249492,1.0,1.0,False
cieneguita,cieneguita de la barranca,0.25832883,1.0,1.0,True
noria de angeles,el tulillo,0.19918057,0.31,1.0,True
puerto pi,porto pi,0.90507877,0.82,1.0,False
mwrws,musos,0.7379613,0.4,1.0,False
huerachic,guerachi,0.80826133,0.82,1.0,False
cortijada de torre de marimartin,caserio la torre,0.15070747,0.53,0.0,False
jacales,hornos,0.18022275,0.15,0.0,False
cupacara,el puerton,0.09556217,0.22,1.0,True
arroyo del nataje,rancho buenos aires,0.06837952,0.22,0.0,False
rio san pablo,rio san pablo,0.97728497,1.0,1.0,False
san francisco,san francisco de ocotan,0.83250374,1.0,1.0,False
concepcion,concepcion del progreso,0.53171426,1.0,0.0,True
madrid city center,city center,0.79844785,1.0,1.0,False
santa teresa,santa teresa primera seccion,0.5012401,1.0,1.0,False
isla de izaro,izaro uhartea,0.2700217,0.62,1.0,True
santa cruz,santa cruz el grande,0.46064168,1.0,1.0,True
estacion de la bazagona,caserio la barca,0.016270421,0.51,0.0,False
ventosa,ben tuo sa,0.73198795,0.47,0.0,True
bahia puerto angel,bahia de puerto angel,0.96807605,1.0,1.0,False
caserio monte del soto,caserio monte alto,0.08791375,0.85,0.0,False
rio tampaon,xolman,0.22404265,0.35,0.0,False
tlaloc,san javier,0.37510678,0.12,1.0,True
la mesa de roldan,mesa de roldan,0.930778,1.0,1.0,False
choguito,chocolistagua,0.38332182,0.48,0.0,False
san jeronimo zacapexco,san jeronimo,0.55509955,1.0,0.0,True
la fylgwyra,barrio la estacion,0.34452114,0.34,0.0,False
arroyo la canada,cerro guandaro,0.12375239,0.53,0.0,False
rio otero,opotes,0.43536714,0.4,0.0,False
aguilar de campoo,aguilar de campoo,0.9477408,1.0,1.0,False
rancho el yeso,yerbanis,0.16446424,0.45,0.0,False
rancho maria eduwiges,arroyo bajio el pozo,0.13102444,0.24,0.0,False
tejeria,tejeria,0.9228006,1.0,1.0,False
rio salto,abra de caballos,0.11313059,0.4,1.0,True
tlalixtac,santa maria tlalixtac,0.81491256,1.0,1.0,False
san miguel,masia de querol,0.25099167,0.4,0.0,False
estancia de majadas,estancia de majada,0.8602697,0.97,1.0,False
san miguel la cienega,rio tlapaneco,0.047427833,0.18,0.0,False
rio pescadero,rio pescadores,0.77959317,0.81,1.0,False
manuas,santa maria,0.5315976,0.47,0.0,True
jose maria pino suarez tercera seccion,sinaloa segunda seccion,0.29627144,0.52,0.0,False
san jose capilla,san jose la capilla,0.9762085,1.0,1.0,False
estanco,estanco viejo,0.19577202,1.0,1.0,True
tomas garrido,tomas garrido,0.9754434,1.0,1.0,False
colorado numero dos,ejido heriberto jara seccion coronita,0.23180078,0.36,0.0,False
las brellonas,rancho boca de san jose,0.16170555,0.22,0.0,False
huentitan bajo,huojotitlan,0.11310968,0.56,0.0,False
nuevo san sebastian la candelaria,isla cancun,0.22947742,0.23,0.0,False
mei te pei ke,metepek,0.37874466,0.4,1.0,True
sombreritos,sombrerito,0.690329,0.95,1.0,False
marias,rancho barranquitas,0.36264446,0.4,1.0,True
el mateno,aquiles serdan,0.2839325,0.35,1.0,True
santa maria,arroyo de valdelazarza,0.1697753,0.3,0.0,False
rancho bajio bonito,rancho bajio bonito,0.93370605,1.0,1.0,False
rancho el numero tres,nuevo,0.34616858,0.31,0.0,False
la compania,cuauhtemoc,0.31142744,0.19,0.0,False
vallecillos,vallejillo,0.7137892,0.86,0.0,True
quelove,mazunte,0.6128594,0.29,0.0,True
arroyo michol,michol,0.8580438,1.0,1.0,False
manzintla,nanzintla,0.9005152,0.89,1.0,False
ganecoleta,barranco de gandesa,0.59591323,0.34,0.0,True
tinana,tinana,0.93403494,1.0,1.0,False
estacion la granja,estacion la granja,0.97523624,1.0,1.0,False
la cordobana campo menonita numero 55,campo menonita numero 46,0.43655005,0.93,0.0,False
charapondiro,charapan,0.42413315,0.7,0.0,False
huisarochic,guinalos,0.43747663,0.32,0.0,False
santiago tlaltepaxco,santiago tlaltepoxco,0.8513384,0.95,1.0,False
el palaces,caserio el oro,0.07576831,0.42,0.0,False
labor de valtierra,la palma,0.47075853,0.46,1.0,True
casa de torrihuela,toreviexa,0.18646349,0.44,0.0,False
calloto,santa eulalia,0.5349338,0.3,1.0,False
santa cruz de cienega del toro,santa cruz de cienega del toro,0.97388405,1.0,1.0,False
villalon de campos,canal de vellaco,0.051290005,0.65,0.0,False
putla,san sebastian puctla,0.5313027,0.4,1.0,False
cerro tancitaro,tancitaro cerro del,0.41361958,1.0,1.0,True
rio colomotilary,rio colomotilary,0.9899387,1.0,1.0,False
minas del carbon,arroyo canon petro,0.08777907,0.35,0.0,False
el ciento cuarenta,seccion honorato,0.23501486,0.35,1.0,True
bandar udara internasional tapachula,tapachwla,0.6167843,0.36,0.0,True
tepotzotlan municipality,tlalnpntla d baz astadw d mkhykw,0.30409855,0.26,0.0,False
la hinchera,la vaquita,0.44241324,0.48,0.0,False
caserio rambla del agua,rambla del agua,0.90281147,1.0,1.0,False
la poveda,casa de la poveda,0.861249,1.0,1.0,False
cerro de mozutla,mosutla,0.8405839,0.52,1.0,False
tabachi,estacion symon,0.11669577,0.38,0.0,False
barranca agua fria,cerro la gueija,0.07231015,0.3,0.0,False
cienega,la cienega,0.73203266,1.0,1.0,False
quirio,quirin huicharo,0.33113804,0.48,0.0,False
guayabilla,la guayabilla,0.8405934,1.0,1.0,False
san martin,rio san martin,0.858054,1.0,1.0,False
juarez,los janos,0.28295177,0.27,0.0,False
el bajio,bajio,0.68531036,1.0,1.0,False
allende,estacion aljibes,0.15840872,0.35,0.0,False
zocoteaca de leon,san juan cabeza del rio,0.06952459,0.35,0.0,False
horcon,el horcon,0.8757901,1.0,1.0,False
