name_1,name_2,prediction,token_set_ratio,label,error
san jose del chilar,el chilar,0.9173858,0.8,1.0,False
masias santilla,masias santilla,0.9675532,1.0,1.0,False
pitayo,pitaya,0.9709111,0.83,1.0,False
mina santa elena,mina de santa elena,0.9532549,1.0,1.0,False
la cruz,cruz,0.7337957,1.0,0.0,True
cunaguaro,cano curinaquen,0.35188308,0.42,0.0,False
arroyo de encinos,el encino,0.73210174,0.62,1.0,False
karlet,carija,0.09756575,0.33,0.0,False
alqueria de aznar,arroyo de la alqueria,0.02095947,0.79,0.0,False
lago krugger,kohi el kayke,0.00096551393,0.32,0.0,False
casa de la cortezona,canada la corte,0.18453051,0.69,0.0,False
el zapote,zapote de teposilama,0.64810514,0.8,1.0,False
kilometro 99,estacion rio santiago,0.022855535,0.3,0.0,False
goyas,goyas,0.93743557,1.0,1.0,False
el mateno,el guayacan,0.05208357,0.5,0.0,False
besadegi,basabi,0.21518247,0.57,1.0,True
western lagoon,mar de tileme,0.83909905,0.22,1.0,False
rio camba,rio pequeno,0.6784421,0.5,1.0,False
jose maria morelos,tetillas,0.117460966,0.08,1.0,True
el cunaviche,rio cunavano,0.00026225433,0.5,0.0,False
san isidro yolox,yegugulara,0.0057343207,0.15,0.0,False
rodriguez,los rodriguez,0.9157379,1.0,0.0,True
la cieneguita,cienega de ortiz,0.3287984,0.55,1.0,True
ojo de la ventura,la ventura,0.694127,1.0,0.0,True
rancho la tumbaga,la tumbaga,0.9878706,1.0,1.0,False
pozo blanco,estacion pozo blanco,0.96145314,1.0,1.0,False
el porvenir de penitas,porvenir,0.49708274,1.0,0.0,False
martin carrera,colonia martin carrera,0.26107827,1.0,1.0,True
rio de las canitas,rio de las canitas,0.9987602,1.0,1.0,False
el bateve,el bateve numero cuatro,0.9921069,1.0,1.0,False
faio,fayon,0.17217056,0.67,1.0,True
parai tepui,rio cuiacua,0.004703575,0.18,0.0,False
el paraiso,quebrada parangula,0.012671589,0.29,0.0,False
santiago camotlan,camotlan,0.9431353,1.0,1.0,False
caserio la lobera,la lobera,0.9996962,1.0,1.0,False
metate,rancheria metate,0.98216206,1.0,0.0,True
penas largas,cerro penas largas,0.9362614,1.0,1.0,False
arroyo el trapiche,arroyo trapiche,0.9996528,1.0,1.0,False
fortin primero de mayo,fortin primero de mayo,0.9918611,1.0,1.0,False
miramar,ramal de chutla,0.74757403,0.36,1.0,False
oficina san jose,san jose,0.5319573,1.0,0.0,True
el aguara,obraje aguara,0.92382365,0.8,1.0,False
villa gimenez,canada verde,0.040693425,0.24,0.0,False
bajio verde,arroyo el capulin,0.00076748733,0.29,0.0,False
guyana,rio auara,0.012730917,0.4,0.0,False
picos de rio bayo,picos bayos,0.99293435,0.71,1.0,False
alella,argencola,0.60189337,0.53,0.0,True
cano icheveni,rio conoriche,0.9364813,0.62,1.0,False
caserio barcinas,arroyo de la barcena,0.0018701447,0.44,0.0,False
rio tepitlan,rio tepitlan,0.99292284,1.0,1.0,False
ruana,san miguel,0.1976068,0.4,0.0,False
pueblo marini,estacion pueblo marini,0.9328055,1.0,1.0,False
tinum,tinun,0.22744279,0.8,0.0,False
arroyo la cienega,rio el bajio,0.0069835656,0.28,0.0,False
ganecoleta,ganecoleta,0.9574429,1.0,1.0,False
congregacion cruz verde,piedra del toro,0.16761388,0.11,1.0,True
loventue,loventuel,0.9406586,0.94,1.0,False
rio upoi,rio uroi,0.9658602,0.88,1.0,False
las vigas buena vista,viga,0.9775159,0.32,1.0,False
apeadero maguiras,apeadero maguiras,0.98027223,1.0,1.0,False
san fernando,fernandez,0.5375782,0.67,1.0,False
santana tercera seccion,arena tercera seccion,0.16179247,0.86,0.0,False
pilona,indusi,0.050253186,0.33,0.0,False
gorrion,el gomeno,0.008661967,0.38,0.0,False
cordon el sombrero,santa barbara,0.20542037,0.19,0.0,False
rio escanela,rio escaneja,0.44102603,0.92,1.0,True
benissano,benirredra,0.051059496,0.53,0.0,False
tzitzya,dzidzya,0.96636313,0.71,1.0,False
cerro valiente,cerro valente,0.1882715,0.96,1.0,True
saguera de luna,sageras del rio,0.2937793,0.67,0.0,False
cerros de san felix,seccion san felix,0.10093482,0.69,0.0,False
departamento de anelo,bahia anegada,0.00692599,0.35,0.0,False
garuhape,arroyo garcia,0.052114233,0.38,0.0,False
rio itatlaxco,san nicolas,0.2655917,0.33,0.0,False
san nicolas,san nicolas,0.44100025,1.0,0.0,False
montana de la crucita,cristo espiritu santo,0.13118184,0.33,0.0,False
donemiliaga san millan,donemiliaga san millan,0.98241735,1.0,1.0,False
mielera,mieleras,0.98276836,0.93,1.0,False
rancho mezcales,mezcales,0.90124637,1.0,1.0,False
cortijada los galvez,baja de la ballena,0.00030951825,0.37,0.0,False
estancia la montanesa,la mesada de los zarate,0.044784218,0.45,0.0,False
el fuerte,cerro los pajaros,0.023943484,0.15,0.0,False
departamento de san justo,bahia san julian,0.0034032739,0.44,0.0,False
ocotitlan,ocotitlan,0.985757,1.0,1.0,False
rio santa cruz,santa barbara,0.09236699,0.59,0.0,False
la chona,concepcion,0.16206925,0.33,0.0,False
puerto de aguila,guadalupe de copales,0.01246935,0.5,0.0,False
quimbanazuna,quinvanazona,0.9967689,0.75,1.0,False
bossi,reduccion de indios,0.26005405,0.25,0.0,False
estanzuela,la estanzuela,0.9842738,1.0,1.0,False
araujo,san martin,0.6317061,0.38,1.0,False
desvio kilometro 232,parada alberto gerchunoff,0.9922916,0.22,1.0,False
san jose de pimas,pimas,0.8757733,1.0,1.0,False
guasquipula,cuaquisputa,0.98331213,0.73,1.0,False
rajisochi,rancheria bajisochi,0.9914808,0.57,1.0,False
barahona,barahona del fresno,0.9866577,1.0,1.0,False
san pablo,caserio san pablo,0.9622768,1.0,1.0,False
gomez de la vega,estacion gobernador urquiza,0.0009953594,0.33,0.0,False
cerro otlayuca,volcan oclayuca,0.9949741,0.48,1.0,False
montana de castaneda,pico de castaneda,0.91343904,0.83,1.0,False
villa de motozintla de mendoza,san francisco motozintla,0.97386885,0.59,1.0,False
andratx,andratsh,0.968965,0.8,1.0,False
estacion delicias,estacion delicias,0.97256684,1.0,1.0,False
san jose de los arcnales,san jose de los arce,0.056768842,0.91,0.0,False
asparrena,asparrena,0.9956851,1.0,1.0,False
manacor,estacion de malpartida,0.21170059,0.28,0.0,False
pomona segunda seccion,segunda seccion,0.66412514,1.0,1.0,False
isla de leon,isla de leon,0.99976903,1.0,1.0,False
el bateve,el chorizo,0.3538893,0.36,0.0,False
sierra marianica,morajra,0.05015961,0.26,0.0,False
general san martin,jose de san martin,0.43187994,0.72,0.0,False
calasanz,calassanc,0.8925852,0.82,1.0,False
rio guarapichi,rio guarapiche,0.9975914,0.93,1.0,False
tecuinapa,san miguel,0.07255141,0.21,1.0,True
rio atoyaquillo,rio tenate,0.06885461,0.48,0.0,False
puesto los galpones,galpones,0.8214152,1.0,1.0,False
saint john harbour,presidente peron,0.285637,0.47,0.0,False
rancho mesa de la cienega,cienega larga,0.9445605,0.7,1.0,False
kanum,kanun,0.68533105,0.8,1.0,False
las animas,las animas,0.6338419,1.0,1.0,False
juan de la luz enriquez,tuxtla colorada,0.6185024,0.26,1.0,False
aeropuerto nacional de navojoa,san luis rio colorado airport,0.09553482,0.37,0.0,False
caserio casas nuevas,casas nuevas,0.9752658,1.0,1.0,False
candanos,caserio los campillos,0.00065983186,0.28,0.0,False
eduardo numero dos,rancho los remedios,0.029991373,0.32,0.0,False
rio de cuevas,rio de cuevas,0.9709231,1.0,1.0,False
estacion de algodar,estacion de algodor,0.99509233,0.95,1.0,False
pico etereo,etereo,0.91718364,1.0,0.0,True
drogueina,tunel drake,0.1576381,0.4,0.0,False
j a guisasola,jose a guisasola,0.99497557,0.92,1.0,False
pantitlan,colonia pantitlan,0.9441897,1.0,0.0,True
tagui,el toqui,0.79851925,0.46,1.0,False
sant marti dalbars,san martin del bas,0.9801272,0.72,1.0,False
estacion lomas de zamora,lomas de zamora,0.98785156,1.0,1.0,False
saramanka,salamanca,0.9823777,0.78,1.0,False
la garza,caserio la garza,0.9970427,1.0,1.0,False
jague,jaguey,0.67316025,0.91,1.0,False
manzanedo de omana,san jorge de manzaneda,0.014038221,0.7,0.0,False
los cajones,los banados,0.087371424,0.64,0.0,False
guere,el guere,0.91080713,1.0,1.0,False
rio aguaray guazu,arroyo aguaray guazu,0.9998574,0.87,1.0,False
rio de penarrubia,caserio pinilla,0.3485395,0.25,0.0,False
punta de la ninera,col de lindus,0.006523569,0.52,0.0,False
col lindavista,colonia bosques de las lomas,0.031140838,0.38,0.0,False
san mames,renestres,0.40037525,0.33,1.0,True
el llano de guadalupe,llano,0.50669634,1.0,0.0,True
el aguita,el aguita,0.93313307,1.0,1.0,False
la cienega,jereouaro,0.029391188,0.32,0.0,False
arrecifes de triangulos,treto,0.035174046,0.29,0.0,False
xijay de cuauhtemoc,xiteje de zapote,0.092111886,0.34,0.0,False
jazmin,america,0.017954655,0.46,0.0,False
presa san nicolas,arroyo ibanez,0.0017730362,0.2,0.0,False
troans,san pedro,0.2604718,0.53,0.0,False
nieves,las nieves,0.9947543,1.0,1.0,False
mas de catala,mas de anton,0.035908155,0.72,0.0,False
el torno de la bola,tomaseno,0.02983234,0.3,0.0,False
nalua maria,nacheha,0.09470304,0.33,0.0,False
san jeronimo,san jeronimo,0.5755941,1.0,1.0,False
canon san juan,canada san juan,0.4851002,0.83,1.0,True
el amole de cocoyol,amole,0.38940123,1.0,1.0,True
rio nola,rio najerilla,0.26985198,0.67,0.0,False
cerro el capulin,lago santa maria,0.0051486036,0.19,0.0,False
cerro ramon,cerro de ramon,0.9427819,1.0,1.0,False
celra,celra,0.9707572,1.0,1.0,False
islote de lobos,lo baturno,0.057904914,0.32,0.0,False
benito juarez,santa cruz de juarez,0.24651682,0.63,0.0,False
casa lluna,caserio casa lluna,0.9932321,1.0,1.0,False
colonia benitez,benitez,0.9465905,1.0,1.0,False
caserio la ballestera,cabo de la subida,2.1494902e-06,0.37,0.0,False
estacion pavon,paila,0.055530448,0.21,0.0,False
el penon,el penon,0.9709484,1.0,1.0,False
la huiguerita,la higuerita,0.98838603,0.96,1.0,False
el aquiche,rancho el angel,0.007994769,0.48,0.0,False
san andres enguaro,san andres,0.8260071,1.0,1.0,False
chilegua,cortijo de chilegua,0.9993323,1.0,1.0,False
cerro santa maria,santa maria,0.802049,1.0,1.0,False
ex fortin cabo primero chaves,ex fortin cabeza de chancho,0.006785779,0.64,0.0,False
estacion calabazas,ejido patria,0.032973796,0.13,0.0,False
bembibre,san andres de bembibre,0.9993699,1.0,1.0,False
dapartamento de diamante,departamento de diamante,0.997557,0.96,1.0,False
caserio venta alta,estacion de venta,0.12995179,0.63,0.0,False
villaviciosa de cordoba,villaviciosa de cordoba,0.9622718,1.0,1.0,False
la fa er,rafal,0.531021,0.62,1.0,False
jabali nuevo,morro el lajero,0.5542406,0.22,0.0,True
bassa de larena,bassa de larena,0.99393,1.0,1.0,False
haeno,jyan,0.4143699,0.44,1.0,True
santa catarina,rio tres picos,0.015516113,0.36,0.0,False
patino,cerro patamban,0.09040434,0.4,0.0,False
