category_name,name,api_poiName,api_poiBrand,name_ref_nrm,name_prov_nrm,location_distance_m,match,match_code,cnn_match,edit_distance_match,name_matching,cnn_name_match_score
Automotive Dealer,auto,siauto,[Siauto],auto,siauto,1467.5162,False,2,True,True,0.800000011920929,0.9999764
Café/Pub,la parroquia de veracruz,la parroquia de veracruz,[La Parroquia De Veracruz],parroquia veracruz,parroquia veracruz,6.2839684,True,1,True,True,1.0,0.9999998
Beach,playa miramar zona vip,playa miramar,[Playa Miramar],playa miramar zona vip,playa miramar,78.366135,True,1,True,True,1.0,0.9997522
Café/Pub,cafe ritual,cafe ritual,[Café Ritual],ritual,ritual,892.51526,False,2,True,True,1.0,0.9993976
Automotive Dealer,auto consignaciones garcias,autoconsignaciones garcia,[Autoconsignaciones García],consignaciones garcias,autoconsignaciones garcia,5.8094544,True,1,True,True,0.8899999856948853,0.9999532
Bank,compartamos banco,ci banco,[Banco de Mexico], compartamos  banco , ci  banco ,432.6463,False,2,True,True,0.7699999809265137,0.99569273
Hotel Or Motel,auto hotel el cucayo,auto hotel el cucayo,[Auto Hotel El Cucayo],auto el cucayo,auto el cucayo,23.117569,True,1,True,True,1.0,0.9999999
Restaurant,nachos kenia,nachos kenia,[Nachos Kenia],nachos kenia,nachos kenia,20.714489,True,1,True,True,1.0,0.9999278
Hotel Or Motel,la escondida,hotel motel la escondida,[Hotel Motel la Escondida],escondida,escondida,30.293272,True,1,True,True,1.0,0.99993825
Place of Worship,odres nuevos,odres nuevos,[Odres Nuevos],odres nuevos,odres nuevos,23.849813,True,1,True,True,1.0,0.9997644
Automotive Dealer,autofin sucursal puebla,autofin,[Autofin],autofin sucursal puebla,autofin,3.3511543,True,1,True,True,1.0,0.9999779
School,school telesecundaria adolfo lopez mateos,escuela telesecundaria,[Escuela Telesecundaria],telesecundaria adolfo lopez mateos,telesecundaria,1961.4531,False,2,True,True,1.0,0.9998057
Restaurant,cocina economica sazelo,cocina economica mayra,[Cocina Económica Mayra],cocina economica sazelo,cocina economica mayra,4.1498356,True,1,True,True,0.8399999737739563,0.96651053
Sports Center,gral agustin viveros millan,deportivo agustin millan,[Deportivo Agustin Millan],gral agustin viveros millan,deportivo agustin millan,42.788673,True,1,True,True,0.75,0.9998325
Museum,xacte,museo lara,[Museo Lara],xacte,lara,1445.1781,False,6,False,False,0.2199999988079071,0.040000323
Restaurant,casa lum hotel restaurante,casa lum,[Casa Lum],lum hotel,lum,4.344912,True,1,True,True,1.0,0.99929154
Shopping Center,antara,berger antara distribuidor oficial rolex,[Berger Antara - Distribuidor Oficial Rolex],antara,berger antara distribuidor oficial rolex,11.144021,True,1,False,True,1.0,0.23846065
Automotive Dealer,automotriz pelayo,detallado automotriz,[Detallado Automotriz],automotriz pelayo,detallado automotriz,214.28485,True,1,True,True,0.8100000023841858,0.9826654
Beach,puerto vallarta malecon,turismo puerto vallarta,[Turismo Puerto Vallarta],puerto vallarta malecon,turismo puerto vallarta,281.46777,True,1,True,True,0.7900000214576721,0.9998493
Museum,monumento,casa cultura lic carlos castillo peraza,[Casa Cultura Lic Carlos Castillo Peraza],monumento,casa cultura lic carlos castillo peraza,1934.0706,False,6,False,False,0.1199999973177909,0.01897302
Shopping Center,plaza del sol fashion center,oli fashion,[Oli Fashion],plaza sol fashion center,oli fashion,81.578636,True,1,True,True,0.7799999713897705,0.95559657
Beach,playa sabancuy,playas de sabancuy,[Playas de Sabancuy],playa sabancuy,playas sabancuy,1343.4767,True,1,True,True,0.9700000286102296,0.9999661
Museum,museo planetario lunaria,lunaria,[Lunaria],planetario lunaria,lunaria,73.56468,True,1,True,True,1.0,0.9985753
Airport,minatitlan,aeropuerto internacional de minatitlan,[Aeropuerto Internacional de Minatitlán],minatitlan,minatitlan,376.3767,True,1,True,True,1.0,0.9999311
Automotive Dealer,automotriz serva,impacto automotriz,[Impacto Automotriz],automotriz serva,impacto automotriz,140.46031,True,1,True,True,0.7699999809265137,0.9959607
Amusement Park,acuatico valladolid park,maquinitas de lupillo,[Maquinitas De Lupillo],acuatico valladolid park,maquinitas lupillo,4034.3794,False,6,False,False,0.2899999916553497,0.1859159
Automotive Dealer,automotriz peralta,ojeda automotriz,[Ojeda Automotriz],automotriz peralta,ojeda automotriz,83.374985,True,1,True,True,0.7699999809265137,0.9969646
Café/Pub,la charamusca,la charamusca cafe,[La Charamusca Café],charamusca,charamusca,133.70067,True,1,True,True,1.0,0.99995416
Important Tourist Attraction,museo de bellas artes de toluca,museo de bellas artes,[Museo de Bellas Artes],museo bellas artes toluca,museo bellas artes,39.853855,True,1,True,True,1.0,0.9999448
Automotive Dealer,h h motors,h and 6 seguridad privada,[H And 6 Seguridad Privada],h h,h 6 seguridad privada,1619.1521,False,2,False,True,1.0,0.2171227
Place of Worship,templo sinai conferencia general de la iglesia de dios,templo monte sinai i i,[Templo Monte Sinai I I],templo sinai conferencia general iglesia dios,templo monte sinai i i,107.46145,True,1,True,True,0.75,0.91379315
Restaurant,maranatha cenaduria,cenaduria la pasadita,[Cenaduría La Pasadita],maranatha cenaduria,cenaduria pasadita,70.60735,True,1,False,True,0.7599999904632568,0.2905425
Restaurant,contramar,contramar,[Contramar],contramar,contramar,8.775739,True,1,True,True,1.0,0.99491715
Automotive Dealer,elegancia automotriz,elegancia automotriz,[Elegancia Automotriz],elegancia automotriz,elegancia automotriz,42.60417,True,1,True,True,1.0,1.0
Shopping Center,at t platino center,pet center,[Pet Center],at t platino center,pet center,645.02875,True,1,True,True,0.75,0.95266
Restaurant,pulque curado mingos,curados mingos,[Curados Mingos],pulque curado mingos,curados mingos,31.658937,True,1,True,True,0.7599999904632568,0.9994736
Automotive Dealer,zacapu automotriz multiservicios,servicio zacapu,[Servicio Zacapu],zacapu automotriz multiservicios,zacapu,369.92368,True,1,True,True,1.0,0.99941
Hotel Or Motel,hotel aqueronte,posada la ventosa,[Posada La Ventosa],aqueronte,posada ventosa,684.9505,False,6,False,False,0.2599999904632568,0.017760523
Hotel Or Motel,hotel conquistador,hotel conquistador,[Hotel Conquistador],conquistador,conquistador,12.810011,True,1,True,True,1.0,0.99997556
Market,mercado,mercado playa de guadalupe,[Mercado Playa de Guadalupe],mercado,mercado playa guadalupe,24.300957,True,1,True,True,1.0,0.9770449
School,esc primaria ramon lopez velarde los duraznos,escuela primaria ramon lopez velarde,[Escuela Primaria Ramon Lopez Velarde],esc primaria ramon lopez velarde duraznos,primaria ramon lopez velarde,193.32828,True,1,True,True,1.0,0.9999984
Automotive Dealer,axel automotriz,taller de rectificaciones automotriz,[Taller De Rectificaciones Automotriz],axel automotriz,taller rectificaciones automotriz,240.3147,True,1,True,True,0.800000011920929,0.99138254
Market,verduleria la escondida,verduleria,[Verdulería],verduleria escondida,verduleria,299.35257,True,1,True,True,1.0,0.9999904
Restaurant,lemon grass kitchen,lemon grass kitchen,[Lemon Grass Kitchen],lemon grass kitchen,lemon grass kitchen,0.0,True,1,True,True,1.0,0.9999708
Market,mercado publico municipal albania baja,chiles y semillas adriana interior del mercado publico municipal 24 de junio,[Chiles Y Semillas Adriana Interior Del Mercado Público Municipal 24 De Junio],mercado municipal albania baja,mercado municipal 24 junio,1520.3627,True,1,True,True,0.7900000214576721,0.99782676
Restaurant,mariscos la charra,mariscos la charra,[Mariscos La Charra],mariscos charra,mariscos charra,12.3898115,True,1,True,True,1.0,0.9999966
Hotel Or Motel,motel bayona,motel bayona,[Motel Bayona],bayona,bayona,47.964703,True,1,True,True,1.0,0.9999882
Museum,mural un atardecer,cerrito de la virgen,[Cerrito De La Virgen],mural un atardecer,cerrito virgen,1914.8553,False,6,False,False,0.3799999952316284,0.19268844
School,esc primaria miguel hidalgo,escuela primaria miguel hidalgo y costilla,[Escuela Primaria Miguel Hidalgo Y Costilla],esc primaria miguel hidalgo,primaria miguel hidalgo y costilla,142.53711,True,1,True,True,0.9200000166893004,0.9999003
Shopping Center,plaza ocotlan,plaka comex ocotlan,[Comex],plaza ocotlan,plaka comex ocotlan,1247.982,True,1,True,True,0.75,0.9962847
Bank,hsbc,hsbc,[HSBC], hsbc , hsbc ,28.193233,True,1,True,True,1.0,0.99997395
Market,bodega,berel berel bodega mice,[Berel],bodega,berel berel bodega mice,474.2651,True,1,True,True,1.0,0.9996972
Shopping Center,forum culiacan centro comercial,plaza forum,[Plaza Forum],forum culiacan centro comercial,plaza forum culiacan,43.126007,True,1,True,True,0.8199999928474426,0.99818796
Hotel Or Motel,hotel posada la cabanita,posada la cabanita,[Posada La Cabañita],posada cabanita,posada cabanita,13.133651,True,1,True,True,1.0,0.99967426
Automotive Dealer,automotive las palmas,automotriz las palmas,[Automotríz Las Palmas],automotive palmas,automotriz palmas,21.890507,True,1,True,True,0.8799999952316284,0.9998451
Automotive Dealer,autos san marcos,tienda de abarrotes san marcos,[Tienda De Abarrotes San Marcos],san marcos,tienda abarrotes san marcos,96.28414,True,1,True,True,1.0,0.99917126
Café/Pub,los alamos cafe,los alamos cafe,[Los Alamos Cafe],alamos,alamos,5.552242,True,1,True,True,1.0,0.99756354
Hotel Or Motel,motel el cielo,auto hotel el cielo,[Auto Hotel El Cielo],el cielo,auto el cielo,14.481544,True,1,True,True,1.0,0.9895735
Market,municipal market geo villas torre santa barbara orange,optica santa barbara,[Óptica Santa Barbara],municipal geo villas torre santa barbara orange,optica santa barbara,534.88873,True,1,True,True,0.7900000214576721,0.9893235
Sports Center,club deportivo valles,club deportivo,[Club Deportivo],club deportivo valles,club deportivo,77.782745,True,1,True,True,1.0,0.99995065
Shop,barber shop rosh,barber shop,[Barber Shop],barber rosh,barber,618.38336,True,1,True,True,1.0,0.99717253
Hotel Or Motel,best western plus monterrey airport,best western plus monterrey airport,[Best Western Plus Monterrey Airport], best  western , best  western ,13.753263,True,1,True,True,1.0,0.99999225
Bank,banco azteca,azteca,[Azteca], banco  azteca , azteca ,519.1389,False,2,True,True,1.0,0.99845946
Automotive Dealer,pontiac gmc,gmc movifon,[Gmc Movifon], gmc , gmc ,1410.1617,False,2,True,True,1.0,0.9989787
Beach,escolleras miramar,las escolleras,[Las Escolleras],escolleras miramar,escolleras,152.02351,True,1,True,True,1.0,0.9999842
School,telesecundaria manuel m ponce,escuela telesecundaria manuel m ponce,[Escuela Telesecundaria Manuel M Ponce],telesecundaria manuel m ponce,telesecundaria manuel m ponce,25.056158,True,1,True,True,1.0,0.999998
Automotive Dealer,city cars,city cars,[City Cars],city,city,28.518915,True,1,True,True,1.0,0.9937809
Restaurant,restaurant el paso,el paso del norte elarabe,[El Paso del Norte Elárabe],el paso,el paso norte elarabe,908.4587,False,2,True,True,1.0,0.99503636
Place of Worship,iglesia cristiana dios es bueno,iglesia cristiana asamblea de dios misionera mexico,[Iglesia Cristiana Asamblea De Dios Misionera México],iglesia cristiana dios es bueno,iglesia cristiana asamblea dios misionera mexico,391.11578,True,1,True,True,0.8299999833106995,0.9999986
Sports Center,squash fainma,squash fainma,[Squash Fainma],squash fainma,squash fainma,35.37559,True,1,True,True,1.0,0.99998736
Sports Center,delta fitness,fitness,[Fitness],delta fitness,fitness,980.07904,True,1,True,True,1.0,0.9999022
Restaurant,buffet 65,buffet el buen comer,[Buffet El Buen Comer],buffet 65,buffet el buen comer,868.03406,False,2,True,True,0.800000011920929,0.9294195
Restaurant,casa oaxaca el restaurante,casa oaxaca el restaurante,[Casa Oaxaca El Restaurante],oaxaca el,oaxaca el,12.3138275,True,1,True,True,1.0,0.998805
Restaurant,hotel mansion del valle,mansion de los angeles hotel,[Mansion De Los Angeles Hotel],hotel mansion valle,mansion angeles hotel,541.0913,False,2,True,True,0.8500000238418579,0.9980908
Airport,ciudad constitucion,aeropuerto nacional de ciudad constitucion,[Aeropuerto Nacional de Ciudad Constitución],ciudad constitucion,ciudad constitucion,481.39575,True,1,True,True,1.0,0.99989307
Beach,playa de playa azul,playa de playa azul,[Playa de Playa Azul],playa playa azul,playa playa azul,97.03902,True,1,True,True,1.0,0.9998544
Bank,gondolas,azteca,[Azteca],gondolas,azteca,698.53125,False,6,False,False,0.1400000005960464,0.030378597
Shopping Center,cvc mall,pc small,[Pc Small],cvc mall,pc small,527.359,True,1,True,True,0.75,0.991748
Railway Station,santuario martires de cristo rey,santuario martires de cristo rey,[Santuario Mártires de Cristo Rey],santuario martires cristo rey,santuario martires cristo rey,53.957706,True,1,True,True,1.0,1.0
Park and Recreation Area,semarnat conanp parque nacional arrecifes de cozumel,cozumel spa,[Cozumel Spa],semarnat conanp parque nacional arrecifes cozumel,cozumel spa,558.5768,True,1,True,True,0.7799999713897705,0.99340546
Hotel Or Motel,hotel plata,la plata habitaciones,[La Plata Habitaciones],plata,plata habitaciones,271.04248,True,1,True,True,1.0,0.9980993
Café/Pub,bons cafe,bons cafe,[Bon's Cafe],bons,bons,21.859777,True,1,True,True,1.0,0.99891055
Café/Pub,cafe casin de puebla,antojitos,[Antojitos],casin puebla,antojitos,743.1815,False,6,False,False,0.1899999976158142,0.0085742455
Airport,los banos,los banos municipal airport,[Los Banos Municipal Airport],banos,banos,3087.3228,True,1,True,True,1.0,0.99987227
Airport,waterbury oxford,waterbury airport,[Waterbury Airport],waterbury oxford,waterbury,435.73764,True,1,True,True,1.0,0.9967751
Airport,french valley,french valley airport,[French Valley Airport],french valley,french valley,35.347374,True,1,True,True,1.0,0.99999857
Hotel Or Motel,la hacienda motel,hacienda motel,[Hacienda Motel],hacienda,hacienda,62.812523,True,1,True,True,1.0,0.9988489
Automotive Dealer,langford motors inc,langford motors,[Langford Motors],langford,langford,16.62888,True,1,True,True,1.0,0.9987455
Camping Ground,easterlin park,easterlin park rv and campground,[Easterlin Park Rv And Campground],easterlin park,easterlin park rv campground,167.02359,True,1,True,True,1.0,0.99942595
Shopping Center,showfields,showfields,[Showfields],showfields,showfields,26.920496,True,1,True,True,1.0,0.99998546
Park and Recreation Area,high knob recreation area,high knob recreation area,[High Knob Recreation Area],high knob recreation area,high knob recreation area,153.16121,True,1,True,True,1.0,0.99999976
Camping Ground,tankenitch campground,tankenitch campground,[Tankenitch Campground],tankenitch campground,tankenitch campground,2170.7722,True,1,True,True,1.0,0.99999857
Hotel Or Motel,suburban extended stay,suburban extended stay hotel albuquerque ne,[Suburban Extended Stay Hotel],suburban extended stay,suburban extended stay albuquerque ne,9.061964,True,1,True,True,1.0,0.99998105
Bank,pnc bank,pnc bank,[PNC Bank], pnc  bank , pnc  bank ,4.558675,True,1,True,True,1.0,0.9996761
Automotive Dealer,neptune auto sales,neptune auto sales,[Neptune Auto Sales],neptune sales,neptune sales,167.39758,True,1,True,True,1.0,0.9999979
School,taft middle school,taft middle school,[Taft Middle School],taft middle,taft middle,198.70363,True,1,True,True,1.0,0.9999791
Beach,salt creek beach,salt creek beach,[Salt Creek Beach],salt creek,salt creek,633.6093,True,1,True,True,1.0,0.9997122
Hotel Or Motel,motel 6 fort worth tx downtown east,fort worth tx downtown east,[Motel 6], motel  6 , motel  6 ,25.255686,True,1,True,True,1.0,0.9966948
Railway Station,pelham,pelham station,[Pelham Station],pelham,pelham,15.27321,True,1,True,True,1.0,0.9999673
Market,fresh thyme market,fresh thyme famrers market,[Fresh Thyme Famrers Market],fresh thyme,fresh thyme famrers,134.358,True,1,True,True,1.0,0.9997733
Market,206 farmers market inc,206 farmers market,[206 Farmers Market],206 farmers,206 farmers,23.412294,True,1,True,True,1.0,0.9997557
Café/Pub,pastry corner bakery cafe,pastry corner,[Pastry Corner],pastry corner bakery,pastry corner,16.596663,True,1,True,True,1.0,0.9999816
Automotive Dealer,shore auto sales llc,shore auto sales,[Shore Auto Sales],shore sales,shore sales,1.9866542,True,1,True,True,1.0,0.99999565
Museum,currier museum of art,currier museum of art,[Currier Museum Of Art],currier,currier,0.75160164,True,1,True,True,1.0,0.99810195
Automotive Dealer,champions auto sales,champion auto sales,[Champion Auto Sales],champions sales,champion sales,50.986813,True,1,True,True,0.9700000286102296,0.999983
Restaurant,pantheon restaurant,pantheon restaurant,[Pantheon Restaurant],pantheon,pantheon,1.0563532,True,1,True,True,1.0,0.9996222
Amusement Park,bunker beach water park,bunker beach water park,[Bunker Beach Water Park],bunker beach water park,bunker beach water park,89.6987,True,1,True,True,1.0,0.9999977
Shopping Center,washington square,at t wireless tigard washington square,[AT&T Wireless],washington square,at t wireless tigard washington square,37.137676,True,1,True,True,1.0,0.99999976
Place of Worship,templo emmanuel,templo emmanuel,[Templo Emmanuel],templo emmanuel,templo emmanuel,44.118774,True,1,True,True,1.0,0.99930793
Automotive Dealer,autos h,doctor h hospital de computadoras,[Doctor H Hospital De Computadoras],h,doctor h hospital computadoras,678.5426,False,2,False,True,1.0,0.012257349
Hotel Or Motel,auto hotel real de castilla,auto hotel real de castilla,[Auto Hotel Real De Castilla],auto real castilla,auto real castilla,48.457428,True,1,True,True,1.0,1.0
Shopping Center,plaza mt,oxxo oficina administrativa plaza tlaxcala,[Oxxo],plaza mt,oxxo oficina administrativa plaza tlaxcala,2128.8328,False,2,True,True,0.7699999809265137,0.89293325
Important Tourist Attraction,parque nacional huatulco,huatulco,[Huatulco],parque nacional huatulco,huatulco,1884.6669,True,1,True,True,1.0,0.99959147
